feature,mean_abs_shap
n_unique_industries_worked,0.007377973732465275
has_master,0.007654489589027079
has_cs_field,0.008340013174644481
worked_at_big_company,0.010530789924366088
n_jobs,0.011273543327973949
career_breadth,0.011810192000084457
has_top_10_qs,0.013361456492592873
worked_at_huge_company,0.0150143010829516
n_degrees,0.016532201646984112
total_career_years,0.01705911692948368
avg_job_duration,0.017917641730244616
worked_in_target_industry,0.020869600959801792
max_company_size,0.02270165350023209
has_top_200_qs,0.023444612171784354
best_qs_ranking,0.0420847770024371
